+-------+-----------+-----------------------------------------------+--------+
|   #   | Thread    |                      Song                     |  Time  |
|   99  | Thread-3  |                    一帘幽梦                   | 1.0475 |
|  100  | Thread-7  |                      假像                     | 1.0444 |
|  101  | Thread-9  |                  搏浪鼓(MTV)                  | 1.0434 |
|  102  | Thread-10 |                老革命遇到新问题               | 1.0415 |
|  103  | Thread-4  |                给我一杯爱的咖啡               | 1.0401 |
|  104  | Thread-4  |                 今夜台北没有你                | 1.0387 |
|  105  | Thread-9  |                 让我再看你一眼                | 1.0382 |
|  106  | Thread-8  |           给我一个不伤心的理由(MTV)           | 1.0372 |
|  107  | Thread-5  |                   等着我小河                  | 1.0342 |
|  108  | Thread-7  |                      丢了                     | 1.0331 |
|  109  | Thread-7  |                    亚洲之星                   | 1.0314 |
|  110  | Thread-5  |                     别停息                    | 1.0295 |
|  111  | Thread-3  |                光的版图(新编版)               | 1.0290 |
|  112  | Thread-1  |                     青海人                    | 1.0286 |
|  113  | Thread-3  |                  雨想哭就哭吧                 | 1.0272 |
|  114  | Thread-6  |                    这种节奏                   | 1.0269 |
|  115  | Thread-4  |                    想飞就飞                   | 1.0261 |
|  116  | Thread-9  |                    天涯芳草                   | 1.0228 |
|  117  | Thread-4  |                 隐形眼镜(MTV)                 | 1.0224 |
|  118  | Thread-9  |                   等我有一天                  | 1.0223 |
|  119  | Thread-4  |                  Loving(MTV)                  | 1.0223 |
|  120  | Thread-5  |                      凋零                     | 1.0222 |
|  121  | Thread-10 |                    拉萨酒吧                   | 1.0198 |
|  122  | Thread-5  |                      牧云                     | 1.0196 |
|  123  | Thread-9  |                      农民                     | 1.0195 |
|  124  | Thread-8  |                 为情为爱走天涯                | 1.0195 |
|  125  | Thread-3  |                   消灭(MTV)                   | 1.0164 |
|  126  | Thread-2  |                  再看看我的眼                 | 1.0160 |
|  127  | Thread-6  |                  庆功酒(MTV)                  | 1.0155 |
|  128  | Thread-8  |                   转身看到你                  | 1.0151 |
|  129  | Thread-5  |                 再回首(演唱会)                | 1.0140 |
|  130  | Thread-2  |                    我不是f4                   | 1.0137 |
|  131  | Thread-6  |                      空白                     | 1.0136 |
|  132  | Thread-5  |                     怨情郎                    | 1.0135 |
|  133  | Thread-8  |                车行之王(影视剧)               | 1.0133 |
|  134  | Thread-4  |               来自你来自我来自他              | 1.0132 |
|  135  | Thread-8  |               想让你爱我(影视剧)              | 1.0121 |
|  136  | Thread-1  |                 草原妹子(MTV)                 | 1.0087 |
|  137  | Thread-7  |                   为何梦见他                  | 1.0073 |
|  138  | Thread-3  |                      圈套                     | 1.0068 |
|  139  | Thread-6  |                      情锁                     | 1.0050 |
|  140  | Thread-4  |                    震憾hi呀                   | 1.0050 |
|  141  | Thread-9  |                    朋友干杯                   | 1.0034 |
|  142  | Thread-10 |                      泪海                     | 1.0018 |
|  143  | Thread-6  |               一个人生活(演唱会)              | 1.0010 |
|  144  | Thread-6  |                    爱心互聊                   | 0.9997 |
|  145  | Thread-7  |                   单身(MTV)                   | 0.9994 |
|  146  | Thread-1  |              我想有个家(超级歌单)             | 0.9991 |
|  147  | Thread-2  |               不后悔爱上你(MTV)               | 0.9980 |
|  148  | Thread-1  |                      诗意                     | 0.9979 |
|  149  | Thread-1  |                    就一个人                   | 0.9978 |
|  150  | Thread-2  |                  爱你实在太累                 | 0.9966 |
|  151  | Thread-6  |                     凯旋歌                    | 0.9955 |
|  152  | Thread-1  |                    踏歌丽江                   | 0.9955 |
|  153  | Thread-5  |                  王妃(演唱会)                 | 0.9942 |
|  154  | Thread-2  |                   没有不可能                  | 0.9940 |
|  155  | Thread-9  |                   含泪的微笑                  | 0.9936 |
|  156  | Thread-7  |                    匆匆别后                   | 0.9934 |
|  157  | Thread-3  |                  我的野蛮女友                 | 0.9931 |
|  158  | Thread-1  |                     小荷花                    | 0.9901 |
|  159  | Thread-9  |                我妈是我妈(高清)               | 0.9888 |
|  160  | Thread-8  |                    飞的更高                   | 0.9884 |
|  161  | Thread-6  |                    我是莎笔                   | 0.9877 |
|  162  | Thread-8  |               你是我心内的一首歌              | 0.9869 |
|  163  | Thread-1  |                   我们说好了                  | 0.9868 |
|  164  | Thread-10 |                     Scream                    | 0.9867 |
