+-------+-----------+-------------------------------------------------------------+--------+
|   #   | Thread    |                             Song                            |  Time  |
|   98  | Thread-6  |                       无情的雨无情的你                      | 0.0190 |
|   99  | Thread-8  |                             放爱                            | 0.0189 |
|  100  | Thread-7  |                          爱你每一天                         | 0.0188 |
|  101  | Thread-2  |                             浪子                            | 0.0188 |
|  102  | Thread-5  |                           掌声响起                          | 0.0188 |
|  103  | Thread-6  |                          Love_Oh_Oh                         | 0.0187 |
|  104  | Thread-7  |                             船歌                            | 0.0186 |
|  105  | Thread-5  |                          爱情鸟信箱                         | 0.0186 |
|  106  | Thread-5  |                           聪明一休                          | 0.0184 |
|  107  | Thread-4  |                          和我回湛江                         | 0.0183 |
|  108  | Thread-3  |                           四人餐桌                          | 0.0183 |
|  109  | Thread-1  |                            你不在                           | 0.0182 |
|  110  | Thread-6  |                         我爱你(MTV)                         | 0.0180 |
|  111  | Thread-8  |                            离开我                           | 0.0179 |
|  112  | Thread-7  |                           我的故事                          | 0.0179 |
|  113  | Thread-7  |                             望月                            | 0.0178 |
|  114  | Thread-3  |                             空城                            | 0.0178 |
|  115  | Thread-1  |                             改变                            | 0.0178 |
|  116  | Thread-1  |                           你的眼神                          | 0.0178 |
|  117  | Thread-6  |                          爱情专属权                         | 0.0177 |
|  118  | Thread-1  |                           好久不见                          | 0.0176 |
|  119  | Thread-10 |                           爱的感觉                          | 0.0176 |
|  120  | Thread-9  |                             模样                            | 0.0175 |
|  121  | Thread-3  |                             誓言                            | 0.0175 |
|  122  | Thread-10 |                             想家                            | 0.0175 |
|  123  | Thread-8  |                             美梦                            | 0.0174 |
|  124  | Thread-3  |                            还是会                           | 0.0174 |
|  125  | Thread-3  |                             绝不                            | 0.0174 |
|  126  | Thread-3  |                           我本善良                          | 0.0174 |
|  127  | Thread-9  |                         E_Mail_Love                         | 0.0173 |
|  128  | Thread-9  |                             花月                            | 0.0173 |
|  129  | Thread-8  |                             飞了                            | 0.0173 |
|  130  | Thread-2  |                           今天的我                          | 0.0173 |
|  131  | Thread-9  |                              门                             | 0.0172 |
|  132  | Thread-8  |                           我想不起                          | 0.0172 |
|  133  | Thread-8  |                        高攀你的排行榜                       | 0.0172 |
|  134  | Thread-1  |                      是否^Love_Is_Over                      | 0.0171 |
|  135  | Thread-8  |                            想起你                           | 0.0170 |
|  136  | Thread-2  |                    舞曲86-迪斯科(欣赏版)                    | 0.0170 |
|  137  | Thread-6  |                             假如                            | 0.0170 |
|  138  | Thread-7  |                          我们的故事                         | 0.0170 |
|  139  | Thread-6  |                             错爱                            | 0.0169 |
|  140  | Thread-9  |                      My_Heart_Is_Broken                     | 0.0169 |
